block_number,block_gas_used,tx_count,block_gas_used_lag_1,tx_count_lag_1
21330579,28684964,383,,
21330580,11648827,153,28684964.0,383.0
21330581,13590577,182,11648827.0,153.0
21330582,11834295,166,13590577.0,182.0
21330583,10679739,174,11834295.0,166.0
21330584,12492479,166,10679739.0,174.0
21330585,11312549,169,12492479.0,166.0
21330586,29890996,394,11312549.0,169.0
21330587,13298234,184,29890996.0,394.0
21330588,5095911,36,13298234.0,184.0
21330589,13532569,301,5095911.0,36.0
21330590,26779337,297,13532569.0,301.0
21330591,14145084,173,26779337.0,297.0
21330592,4922361,108,14145084.0,173.0
21330593,29968429,424,4922361.0,108.0
21330594,12712794,159,29968429.0,424.0
21330595,11013604,167,12712794.0,159.0
21330596,16578510,218,11013604.0,167.0
21330597,4720110,86,16578510.0,218.0
21330598,17487188,230,4720110.0,86.0
21330599,5104501,92,17487188.0,230.0
21330600,29993127,403,5104501.0,92.0
21330601,18122110,252,29993127.0,403.0
21330602,7641989,68,18122110.0,252.0
21330603,14901074,266,7641989.0,68.0
21330604,16432888,238,14901074.0,266.0
21330605,7263328,107,16432888.0,238.0
21330606,15318007,218,7263328.0,107.0
21330607,17941477,224,15318007.0,218.0
21330608,6210843,33,17941477.0,224.0
21330609,25454040,412,6210843.0,33.0
21330610,14096202,212,25454040.0,412.0
21330611,12883953,170,14096202.0,212.0
21330612,17809053,205,12883953.0,170.0
21330613,14847692,179,17809053.0,205.0
21330614,15463053,186,14847692.0,179.0
21330615,10378349,165,15463053.0,186.0
21330616,16836131,278,10378349.0,165.0
21330617,11157683,196,16836131.0,278.0
21330618,18601685,327,11157683.0,196.0
21330619,15348026,267,18601685.0,327.0
21330620,10933479,178,15348026.0,267.0
21330621,16991677,226,10933479.0,178.0
21330622,12563848,204,16991677.0,226.0
21330623,14207078,182,12563848.0,204.0
21330624,17234565,208,14207078.0,182.0
21330625,10936058,181,17234565.0,208.0
21330626,21347649,297,10936058.0,181.0
21330627,9485885,125,21347649.0,297.0
21330628,24017468,237,9485885.0,125.0
21330629,9189490,142,24017468.0,237.0
21330630,13295326,172,9189490.0,142.0
21330631,22395008,227,13295326.0,172.0
21330632,4611355,70,22395008.0,227.0
21330633,29898375,345,4611355.0,70.0
21330634,9805926,148,29898375.0,345.0
21330635,11412060,144,9805926.0,148.0
21330636,24585412,333,11412060.0,144.0
21330637,15797858,171,24585412.0,333.0
21330638,14337631,180,15797858.0,171.0
21330639,10994852,170,14337631.0,180.0
21330640,13976653,196,10994852.0,170.0
21330641,21757826,254,13976653.0,196.0
21330642,11663087,187,21757826.0,254.0
21330643,11096399,175,11663087.0,187.0
21330644,14151214,229,11096399.0,175.0
21330645,18113482,219,14151214.0,229.0
21330646,14607027,202,18113482.0,219.0
21330647,4787666,93,14607027.0,202.0
21330648,29985941,168,4787666.0,93.0
21330649,24551210,308,29985941.0,168.0
21330650,7758147,106,24551210.0,308.0
21330651,13672783,186,7758147.0,106.0
21330652,10828497,159,13672783.0,186.0
21330653,14286343,212,10828497.0,159.0
21330654,5557742,104,14286343.0,212.0
21330655,21615216,328,5557742.0,104.0
21330656,23186574,286,21615216.0,328.0
21330657,11515431,156,23186574.0,286.0
21330658,15741846,215,11515431.0,156.0
21330659,12119482,146,15741846.0,215.0
21330660,14700483,170,12119482.0,146.0
21330661,13720728,182,14700483.0,170.0
21330662,15793100,257,13720728.0,182.0
21330663,10329385,140,15793100.0,257.0
21330664,21720806,288,10329385.0,140.0
21330665,8979632,107,21720806.0,288.0
21330666,21471378,289,8979632.0,107.0
21330667,11045761,146,21471378.0,289.0
21330668,10476000,169,11045761.0,146.0
21330669,5579488,106,10476000.0,169.0
21330670,29680597,423,5579488.0,106.0
21330671,10080062,172,29680597.0,423.0
21330672,25752407,221,10080062.0,172.0
21330673,13358907,140,25752407.0,221.0
21330674,14925145,184,13358907.0,140.0
21330675,11602656,153,14925145.0,184.0
21330676,14883801,196,11602656.0,153.0
21330677,12621223,206,14883801.0,196.0
21330678,12947597,175,12621223.0,206.0
21330679,14494312,181,12947597.0,175.0
21330680,11693346,145,14494312.0,181.0
21330681,13273350,154,11693346.0,145.0
21330682,17218332,243,13273350.0,154.0
21330683,13019012,184,17218332.0,243.0
21330684,13336677,184,13019012.0,184.0
21330685,17973651,204,13336677.0,184.0
21330686,15503251,207,17973651.0,204.0
21330687,9365194,141,15503251.0,207.0
21330688,25588889,335,9365194.0,141.0
21330689,9756027,160,25588889.0,335.0
21330690,13239150,178,9756027.0,160.0
21330691,14184343,233,13239150.0,178.0
21330692,14782856,206,14184343.0,233.0
21330693,18061122,201,14782856.0,206.0
21330694,14062770,188,18061122.0,201.0
21330695,15355291,202,14062770.0,188.0
21330696,16068138,238,15355291.0,202.0
21330697,12759426,151,16068138.0,238.0
21330698,12878276,185,12759426.0,151.0
21330699,11186550,162,12878276.0,185.0
21330700,14858488,266,11186550.0,162.0
21330701,18050357,216,14858488.0,266.0
21330702,12304306,167,18050357.0,216.0
21330703,6484534,101,12304306.0,167.0
21330704,29986781,389,6484534.0,101.0
21330705,9328054,136,29986781.0,389.0
21330706,25332324,362,9328054.0,136.0
21330707,16414058,238,25332324.0,362.0
21330708,15440334,190,16414058.0,238.0
21330709,13535954,157,15440334.0,190.0
21330710,10366931,161,13535954.0,157.0
21330711,17794656,221,10366931.0,161.0
21330712,16998991,210,17794656.0,221.0
21330713,14236242,202,16998991.0,210.0
21330714,16002469,233,14236242.0,202.0
21330715,13655413,151,16002469.0,233.0
21330716,25138148,285,13655413.0,151.0
21330717,7458720,106,25138148.0,285.0
21330718,19430297,194,7458720.0,106.0
21330719,17285639,257,19430297.0,194.0
21330720,11999077,134,17285639.0,257.0
21330721,18911985,283,11999077.0,134.0
21330722,10034959,152,18911985.0,283.0
21330723,15006812,201,10034959.0,152.0
21330724,14863133,177,15006812.0,201.0
21330725,3897580,16,14863133.0,177.0
21330726,3212740,16,3897580.0,16.0
21330727,29984254,463,3212740.0,16.0
21330728,29076327,364,29984254.0,463.0
21330729,16904025,184,29076327.0,364.0
21330730,10750840,126,16904025.0,184.0
21330731,16427776,212,10750840.0,126.0
21330732,9516426,86,16427776.0,212.0
21330733,21046101,307,9516426.0,86.0
21330734,13258170,189,21046101.0,307.0
21330735,13077317,210,13258170.0,189.0
21330736,16670934,205,13077317.0,210.0
21330737,13059178,169,16670934.0,205.0
21330738,17713635,259,13059178.0,169.0
21330739,17417234,179,17713635.0,259.0
21330740,13775469,175,17417234.0,179.0
21330741,19058831,194,13775469.0,175.0
21330742,11551607,180,19058831.0,194.0
21330743,22817320,263,11551607.0,180.0
21330744,14001446,169,22817320.0,263.0
21330745,12986491,163,14001446.0,169.0
21330746,19942357,247,12986491.0,163.0
21330747,15055915,160,19942357.0,247.0
21330748,13120919,166,15055915.0,160.0
21330749,14644711,186,13120919.0,166.0
21330750,24122793,192,14644711.0,186.0
21330751,16219018,194,24122793.0,192.0
21330752,9327432,48,16219018.0,194.0
21330753,21959085,327,9327432.0,48.0
21330754,15009376,171,21959085.0,327.0
21330755,12275873,159,15009376.0,171.0
21330756,15511786,234,12275873.0,159.0
21330757,10997723,174,15511786.0,234.0
21330758,12774929,187,10997723.0,174.0
21330759,13471235,192,12774929.0,187.0
21330760,21252822,224,13471235.0,192.0
21330761,21127169,298,21252822.0,224.0
21330762,12283997,171,21127169.0,298.0
21330763,13281460,179,12283997.0,171.0
21330764,11138173,167,13281460.0,179.0
21330765,13815439,156,11138173.0,167.0
21330766,15756406,202,13815439.0,156.0
21330767,9836654,182,15756406.0,202.0
21330768,15894862,214,9836654.0,182.0
21330769,12639576,198,15894862.0,214.0
21330770,12445342,167,12639576.0,198.0
21330771,16979525,223,12445342.0,167.0
21330772,13015816,176,16979525.0,223.0
21330773,14049337,165,13015816.0,176.0
21330774,13292348,171,14049337.0,165.0
21330775,13252582,193,13292348.0,171.0
21330776,24397122,316,13252582.0,193.0
21330777,11566065,132,24397122.0,316.0
21330778,7341859,115,11566065.0,132.0
21330779,23074127,343,7341859.0,115.0
21330780,6981355,125,23074127.0,343.0
21330781,20676313,265,6981355.0,125.0
21330782,16653485,206,20676313.0,265.0
21330783,16364664,187,16653485.0,206.0
21330784,9359339,128,16364664.0,187.0
21330785,12050965,154,9359339.0,128.0
21330786,21365584,316,12050965.0,154.0
21330787,15626185,193,21365584.0,316.0
21330788,9373275,156,15626185.0,193.0
21330789,29037920,419,9373275.0,156.0
21330790,11110760,174,29037920.0,419.0
21330791,13906316,178,11110760.0,174.0
21330792,20166181,185,13906316.0,178.0
21330793,13011215,174,20166181.0,185.0
21330794,14487276,198,13011215.0,174.0
21330795,14630774,169,14487276.0,198.0
21330796,22782075,252,14630774.0,169.0
21330797,8288450,116,22782075.0,252.0
21330798,11323191,146,8288450.0,116.0
21330799,19132557,165,11323191.0,146.0
21330800,13535107,208,19132557.0,165.0
21330801,12951655,203,13535107.0,208.0
21330802,15869057,218,12951655.0,203.0
21330803,10482738,134,15869057.0,218.0
21330804,6989941,134,10482738.0,134.0
21330805,19972489,308,6989941.0,134.0
21330806,29455983,420,19972489.0,308.0
21330807,15550684,186,29455983.0,420.0
21330808,17399854,201,15550684.0,186.0
21330809,15011063,175,17399854.0,201.0
21330810,14866917,155,15011063.0,175.0
21330811,15746465,196,14866917.0,155.0
21330812,12262278,149,15746465.0,196.0
21330813,12505187,151,12262278.0,149.0
21330814,18515099,250,12505187.0,151.0
21330815,25570083,256,18515099.0,250.0
21330816,6985252,148,25570083.0,256.0
21330817,22785586,259,6985252.0,148.0
21330818,14942050,193,22785586.0,259.0
21330819,14623825,191,14942050.0,193.0
21330820,14782086,188,14623825.0,191.0
21330821,13213983,175,14782086.0,188.0
21330822,11938753,168,13213983.0,175.0
21330823,19040999,213,11938753.0,168.0
21330824,10964848,134,19040999.0,213.0
21330825,19169270,273,10964848.0,134.0
21330826,17657919,224,19169270.0,273.0
21330827,9988569,128,17657919.0,224.0
21330828,16138097,212,9988569.0,128.0
21330829,8988547,121,16138097.0,212.0
21330830,13513268,233,8988547.0,121.0
21330831,10422966,192,13513268.0,233.0
21330832,22985859,286,10422966.0,192.0
21330833,12364998,179,22985859.0,286.0
21330834,8139260,128,12364998.0,179.0
